date,open,high,low,close,vol,50,100,200
2017-08-16 21:00:00,4261.48,4485.39,4200.74,4285.08,795.150377,,,
2017-08-17 21:00:00,4285.08,4371.52,3938.77,4108.37,1199.888264,,,
2017-08-18 21:00:00,4108.37,4184.69,3850.0,4139.98,381.309763,,,
2017-08-19 21:00:00,4120.98,4211.08,4032.62,4086.29,467.083022,,,
2017-08-20 21:00:00,4069.13,4119.62,3911.79,4016.0,691.74306,,,
2017-08-21 21:00:00,4016.0,4104.82,3400.0,4040.0,966.684858,,,
2017-08-22 21:00:00,4040.0,4265.8,4013.89,4114.01,1001.136565,,,
2017-08-23 21:00:00,4147.0,4371.68,4085.01,4316.01,787.418753,,,
2017-08-24 21:00:00,4316.01,4453.91,4247.48,4280.68,573.61274,,,
2017-08-25 21:00:00,4280.71,4367.0,4212.41,4337.44,228.108068,,,
2017-08-26 21:00:00,4332.51,4400.0,4285.54,4310.01,350.692585,,,
2017-08-27 21:00:00,4310.01,4399.82,4124.54,4386.69,603.841616,,,
2017-08-28 21:00:00,4353.65,4625.85,4313.55,4587.48,603.545028,,,
2017-08-29 21:00:00,4564.52,4647.51,4416.01,4555.14,808.468771,,,
2017-08-30 21:00:00,4555.14,4745.42,4555.14,4724.89,556.956802,,,
2017-08-31 21:00:00,4689.89,4885.55,4654.88,4834.91,560.666366,,,
2017-09-01 21:00:00,4796.16,4939.19,4286.87,4472.14,929.148595,,,
2017-09-02 21:00:00,4508.5,4714.76,4298.33,4509.08,691.216198,,,
2017-09-03 21:00:00,4505.0,4527.49,3972.51,4100.11,1394.644614,,,
2017-09-04 21:00:00,4106.97,4484.99,3603.0,4366.47,1228.938157,,,
2017-09-05 21:00:00,4366.49,4662.87,4335.26,4619.77,807.363726,,,
2017-09-06 21:00:00,4619.77,4788.59,4438.19,4691.61,500.429975,,,
2017-09-07 21:00:00,4691.66,4735.39,4028.93,4282.8,1132.255046,,,
2017-09-08 21:00:00,4282.8,4426.62,4150.06,4258.81,658.782952,,,
2017-09-09 21:00:00,4258.81,4283.0,3801.0,4130.37,660.373275,,,
2017-09-10 21:00:00,4153.62,4334.43,4098.91,4208.47,699.989065,,,
2017-09-11 21:00:00,4208.6,4394.59,4040.8,4163.72,879.630319,,,
2017-09-12 21:00:00,4159.72,4165.38,3760.0,3944.69,913.462545,,,
2017-09-13 21:00:00,3944.0,3993.0,3165.13,3189.02,1665.021543,,,
2017-09-14 21:00:00,3188.01,3856.0,2817.0,3700.0,1968.866492,,,
2017-09-15 21:00:00,3674.01,3950.0,3470.66,3714.95,1297.563953,,,
2017-09-16 21:00:00,3685.23,3748.21,3499.02,3699.99,682.17121,,,
2017-09-17 21:00:00,3690.0,4123.2,3690.0,4035.01,1030.006455,,,
2017-09-18 21:00:00,4060.0,4089.97,3830.91,3910.04,902.332129,,,
2017-09-19 21:00:00,3910.04,4046.08,3820.0,3900.0,720.935076,,,
2017-09-20 21:00:00,3889.99,3910.0,3567.0,3609.99,1001.654084,,,
2017-09-21 21:00:00,3592.84,3750.0,3505.55,3595.87,838.966425,,,
2017-09-22 21:00:00,3595.88,3817.19,3542.91,3780.0,752.792791,,,
2017-09-23 21:00:00,3779.54,3789.99,3622.76,3660.02,661.63639,,,
2017-09-24 21:00:00,3660.02,3979.87,3653.69,3920.75,727.994713,4139.6665,,
2017-09-25 21:00:00,3928.0,3976.99,3850.05,3882.35,526.727987,4129.598250000001,,
2017-09-26 21:00:00,3882.36,4249.94,3872.81,4193.0,628.170966,4131.714000000001,,
2017-09-27 21:00:00,4192.11,4300.0,4101.0,4174.5,849.785325,4132.577,,
2017-09-28 21:00:00,4178.98,4263.86,3952.01,4174.69,1602.309565,4134.787,,
2017-09-29 21:00:00,4175.0,4380.0,4138.1,4378.51,720.353183,4143.84975,,
2017-09-30 21:00:00,4378.49,4406.52,4240.04,4378.48,726.963685,4152.311750000001,,
2017-10-01 21:00:00,4400.0,4561.63,4360.0,4380.0,655.756974,4158.9615,,
2017-10-02 21:00:00,4380.0,4467.33,4180.8,4310.0,1082.323563,4158.811250000001,,
2017-10-03 21:00:00,4314.9,4373.0,4142.0,4208.59,868.465101,4157.009,,
2017-10-04 21:00:00,4208.59,4355.0,4110.0,4292.43,779.138638,4155.88375,,
2017-10-05 21:00:00,4318.99,4417.0,4292.0,4369.0,506.529176,4157.3585,,
2017-10-06 21:00:00,4369.0,4479.5,4312.56,4423.0,297.5975,4158.26625,,
2017-10-07 21:00:00,4425.0,4658.0,4425.0,4640.0,518.462004,4159.57925,,
2017-10-08 21:00:00,4640.0,4889.98,4550.0,4786.95,646.463145,4165.3745,,
2017-10-09 21:00:00,4786.95,4960.0,4680.59,4783.06,1043.221773,4166.828749999999,,
2017-10-10 21:00:00,4783.06,4881.61,4710.0,4821.43,753.429396,4166.491749999999,,
2017-10-11 21:00:00,4821.43,5439.99,4810.16,5430.0,1276.701482,4190.438249999998,,
2017-10-12 21:00:00,5439.99,5846.17,5379.84,5649.98,1879.82762,4218.960749999999,,
2017-10-13 21:00:00,5650.0,5900.0,5580.01,5869.99,970.759046,4263.20775,,
2017-10-14 21:00:00,5855.03,5922.3,5400.01,5709.99,1343.523375,4296.795749999999,,
2017-10-15 21:00:00,5710.0,5788.91,5585.19,5760.02,1528.996462,4325.301999999999,,
2017-10-16 21:00:00,5760.0,5774.98,5508.63,5595.0,1429.869376,4347.88675,,
2017-10-17 21:00:00,5595.0,5596.0,5037.95,5512.06,2317.804373,4378.6182499999995,,
2017-10-18 21:00:00,5513.0,5710.0,5490.26,5683.9,1881.722107,4414.245499999999,,
2017-10-19 21:00:00,5683.31,6110.0,5600.0,6010.01,1972.97722,4461.2365,,
2017-10-20 21:00:00,6013.72,6171.0,5850.03,6024.97,1664.307693,4506.648999999999,,
2017-10-21 21:00:00,6003.27,6060.0,5720.03,5950.02,1362.092216,4551.3065,,
2017-10-22 21:00:00,5975.0,6080.0,5621.03,5915.93,1812.557715,4600.5875,,
2017-10-23 21:00:00,5909.47,5925.0,5450.0,5477.03,2580.418767,4657.7877499999995,,
2017-10-24 21:00:00,5506.92,5704.96,5286.98,5689.99,2282.813205,4707.537499999999,,
2017-10-25 21:00:00,5670.1,5939.99,5650.0,5861.77,1972.965882,4761.207999999999,,
2017-10-26 21:00:00,5861.77,5980.0,5649.24,5768.83,1403.706416,4812.928999999998,,
2017-10-27 21:00:00,5768.79,5850.02,5630.03,5719.64,1276.754412,4855.044749999999,,
2017-10-28 21:00:00,5709.98,6189.88,5648.01,6169.98,1804.778173,4911.543249999999,,
2017-10-29 21:00:00,6133.01,6248.68,6030.0,6120.5,1473.687043,4967.055749999999,,
2017-10-30 21:00:00,6120.52,6498.01,6100.0,6463.0,1511.774925,5038.380999999999,,
2017-10-31 21:00:00,6463.0,6774.67,6338.02,6753.98,1675.615188,5117.33375,,
2017-11-01 21:00:00,6753.98,7300.0,6685.1,7019.98,2503.610803,5198.33325,,
2017-11-02 21:00:00,7010.31,7346.34,6923.0,7115.04,1891.497592,5284.70875,,
2017-11-03 21:00:00,7115.02,7480.99,6901.0,7357.09,1399.191767,5370.61725,,
2017-11-04 21:00:00,7357.27,7590.25,7279.02,7345.01,1207.83233,5457.18375,,
2017-11-05 21:00:00,7345.1,7401.0,6906.0,6960.12,1763.019261,5526.36175,,
2017-11-06 21:00:00,6981.72,7198.49,6901.0,7064.04,1440.259494,5598.60025,,
2017-11-07 21:00:00,7070.0,7770.02,6651.0,7303.0,2822.298802,5676.808,,
2017-11-08 21:00:00,7303.01,7392.0,7015.0,7079.99,1913.398308,5744.344999999999,,
2017-11-09 21:00:00,7079.0,7279.91,6255.01,6506.98,3254.704105,5797.5575,,
2017-11-10 21:00:00,6503.0,6797.98,6100.0,6245.05,2754.156861,5844.183749999999,,
2017-11-11 21:00:00,6245.05,6630.0,5325.01,5811.03,4968.483069,5881.709499999999,,
2017-11-12 21:00:00,5839.94,6697.47,5699.99,6465.99,2621.243039,5938.144499999999,,
2017-11-13 21:00:00,6465.99,6684.98,6311.07,6574.99,1254.292531,5995.208499999999,,
2017-11-14 21:00:00,6575.99,7298.0,6575.99,7240.06,1779.605845,6066.984999999999,,
2017-11-15 21:00:00,7240.14,7940.0,7076.0,7864.5,2331.95675,6153.022499999999,,
2017-11-16 21:00:00,7876.98,7989.0,7451.0,7699.19,3982.395925,6229.50225,,
2017-11-17 21:00:00,7680.01,7819.99,7422.0,7761.94,3954.266477,6303.876999999999,,
2017-11-18 21:00:00,7761.94,8123.15,7650.33,8038.0,3867.340444,6385.250499999999,,
2017-11-19 21:00:00,8057.11,8319.99,7954.0,8212.0,3886.634348,6470.014749999999,,
2017-11-20 21:00:00,8212.49,8400.0,7801.0,8119.51,4544.474016,6537.2525,,
