time,close,high,low,open,Adj Close,Volume
9/17/2014,457.334015,468.174011,452.421997,465.864014,457.334015,21056800
9/18/2014,424.440002,456.859985,413.104004,456.859985,424.440002,34483200
9/19/2014,394.79599,427.834991,384.532013,424.102997,394.79599,37919700
9/20/2014,408.903992,423.29599,389.882996,394.673004,408.903992,36863600
9/21/2014,398.821014,412.425995,393.181,408.084991,398.821014,26580100
9/22/2014,402.152008,406.915985,397.130005,399.100006,402.152008,24127600
9/23/2014,435.790985,441.557007,396.196991,402.09201,435.790985,45099500
9/24/2014,423.204987,436.112,421.131989,435.751007,423.204987,30627700
9/25/2014,411.574005,423.519989,409.467987,423.156006,411.574005,26814400
9/26/2014,404.424988,414.937988,400.009003,411.428986,404.424988,21460800
9/27/2014,399.519989,406.622986,397.372009,403.556,399.519989,15029300
9/28/2014,377.181,401.016998,374.332001,399.471008,377.181,23613300
9/29/2014,375.46701,385.210999,372.23999,376.928009,375.46701,32497700
9/30/2014,386.944,390.97699,373.442993,376.088013,386.944,34707300
10/1/2014,383.61499,391.378998,380.779999,387.427002,383.61499,26229400
10/2/2014,375.071991,385.497009,372.946014,383.988007,375.071991,21777700
10/3/2014,359.511993,377.695007,357.859009,375.181,359.511993,30901200
10/4/2014,328.865997,364.487,325.885986,359.891998,328.865997,47236500
10/5/2014,320.51001,341.800995,289.29599,328.915985,320.51001,83308096
10/6/2014,330.07901,345.134003,302.559998,320.389008,330.07901,79011800
10/7/2014,336.187012,339.247009,320.481995,330.584015,336.187012,49199900
10/8/2014,352.940002,354.364014,327.187988,336.115997,352.940002,54736300
10/9/2014,365.026001,382.726013,347.687012,352.747986,365.026001,83641104
10/10/2014,361.562012,375.066986,352.963013,364.687012,361.562012,43665700
10/11/2014,362.299011,367.19101,355.950989,361.362,362.299011,13345200
10/12/2014,378.549011,379.433014,356.144012,362.605988,378.549011,17552800
10/13/2014,390.414001,397.226013,368.897003,377.92099,390.414001,35221400
10/14/2014,400.869995,411.697998,391.324005,391.691986,400.869995,38491500
10/15/2014,394.77301,402.22699,388.765991,400.954987,394.77301,25267100
10/16/2014,382.556,398.807007,373.070007,394.518005,382.556,26990000
10/17/2014,383.757996,385.477997,375.389008,382.756012,383.757996,13600700
10/18/2014,391.441986,395.15799,378.971008,383.976013,391.441986,11416800
10/19/2014,389.54599,393.938995,386.457001,391.253998,389.54599,5914570
10/20/2014,382.845001,390.084015,378.252014,389.230988,382.845001,16419000
10/21/2014,386.475006,392.645996,380.834015,382.42099,386.475006,14188900
10/22/2014,383.15799,388.575989,382.248993,386.118011,383.15799,11641300
10/23/2014,358.416992,385.048004,356.446991,382.962006,358.416992,26456900
10/24/2014,358.345001,364.345001,353.304993,358.591003,358.345001,15585700
10/25/2014,347.270996,359.860992,342.877014,358.610992,347.270996,18127500
10/26/2014,354.70401,359.221008,343.931,347.487,354.70401,11272500
10/27/2014,352.989014,358.631989,349.80899,354.777008,352.989014,13033000
10/28/2014,357.618011,359.984009,352.678986,353.214996,357.618011,7845880
10/29/2014,335.591003,357.833008,335.342987,357.088989,335.591003,18192700
10/30/2014,345.304993,350.912994,335.071991,335.709015,345.304993,30177900
10/31/2014,338.321014,348.045013,337.141998,345.009003,338.321014,12545400
11/1/2014,325.748993,340.528992,321.054993,338.649994,325.748993,16677200
11/2/2014,325.891998,329.049988,320.626007,326.075012,325.891998,8603620
11/3/2014,327.553986,334.002014,325.480988,325.569,327.553986,12948500
11/4/2014,330.492004,331.766998,325.076996,327.161011,330.492004,15655500
11/5/2014,339.485992,343.368988,330.683014,330.683014,339.485992,19817200
11/6/2014,349.290009,352.966003,338.424011,339.458008,349.290009,18797000
11/7/2014,342.415009,352.731995,341.776001,349.817993,342.415009,16834200
11/8/2014,345.488007,347.032013,342.153992,342.153992,345.488007,8535470
11/9/2014,363.264008,363.626007,344.255005,345.376007,363.264008,24205600
11/10/2014,366.924011,374.81601,357.561005,362.265015,366.924011,30450100
11/11/2014,367.695007,371.309998,363.734985,365.856995,367.695007,15838900
11/12/2014,423.561005,429.717987,367.984985,367.984985,423.561005,45783200
11/13/2014,420.734985,457.092987,401.122986,427.27301,420.734985,58945000
11/14/2014,397.817993,419.252014,384.789001,418.416992,397.817993,29589200
11/15/2014,376.132996,405.528015,371.007996,399.649994,376.132996,15727500
11/16/2014,387.881989,390.799011,374.60199,374.730011,387.881989,11905600
