ds,y
1/30/2015,226.425003
1/31/2015,217.464005
2/1/2015,226.972
2/2/2015,238.229004
2/3/2015,227.268005
2/4/2015,226.852997
2/5/2015,217.110992
2/6/2015,222.266006
2/7/2015,227.753998
2/8/2015,223.412003
2/9/2015,220.110001
2/10/2015,219.839005
2/11/2015,219.184998
2/12/2015,221.764008
2/13/2015,235.427002
2/14/2015,257.321014
2/15/2015,234.824997
2/16/2015,233.843002
2/17/2015,243.610001
2/18/2015,236.326004
2/19/2015,240.283005
2/20/2015,243.779007
2/21/2015,244.533997
2/22/2015,235.977005
2/23/2015,238.891998
2/24/2015,238.735001
2/25/2015,237.470001
2/26/2015,236.425995
2/27/2015,253.828003
2/28/2015,254.263
3/1/2015,260.201996
3/2/2015,275.670013
3/3/2015,281.701996
3/4/2015,273.09201
3/5/2015,276.178009
3/6/2015,272.722992
3/7/2015,276.260986
3/8/2015,274.354004
3/9/2015,289.606995
3/10/2015,291.76001
3/11/2015,296.378998
3/12/2015,294.354004
3/13/2015,285.337006
3/14/2015,281.88501
3/15/2015,286.393005
3/16/2015,290.592987
3/17/2015,285.505005
3/18/2015,256.299011
3/19/2015,260.928009
3/20/2015,261.748993
3/21/2015,260.024994
3/22/2015,267.959991
3/23/2015,266.73999
3/24/2015,245.595001
3/25/2015,246.197006
3/26/2015,248.531998
3/27/2015,247.029007
3/28/2015,252.798004
3/29/2015,242.712997
3/30/2015,247.526001
3/31/2015,244.223999
4/1/2015,247.272003
4/2/2015,253.005005
4/3/2015,254.322006
4/4/2015,253.697006
4/5/2015,260.597992
4/6/2015,255.492004
4/7/2015,253.179993
4/8/2015,245.022003
4/9/2015,243.675995
4/10/2015,236.072006
4/11/2015,236.552002
4/12/2015,236.153
4/13/2015,224.587006
4/14/2015,219.158997
4/15/2015,223.832993
4/16/2015,228.572998
4/17/2015,222.882004
4/18/2015,223.356003
4/19/2015,222.600006
4/20/2015,224.626007
4/21/2015,235.268997
4/22/2015,234.175995
4/23/2015,236.462006
4/24/2015,231.268005
4/25/2015,226.389999
4/26/2015,219.429993
4/27/2015,229.285995
4/28/2015,225.854996
4/29/2015,225.807999
4/30/2015,236.145004
5/1/2015,232.078995
5/2/2015,234.929993
5/3/2015,240.358002
5/4/2015,239.018005
5/5/2015,236.121002
5/6/2015,229.781998
5/7/2015,237.334
5/8/2015,243.863007
5/9/2015,241.832001
5/10/2015,240.296005
5/11/2015,242.158005
5/12/2015,241.112
5/13/2015,236.376999
5/14/2015,236.929001
5/15/2015,237.604996
5/16/2015,236.153
5/17/2015,236.802002
5/18/2015,233.128006
5/19/2015,231.947006
5/20/2015,234.018005
5/21/2015,235.343994
5/22/2015,240.348007
5/23/2015,238.871994
5/24/2015,240.953003
5/25/2015,237.110001
5/26/2015,237.115997
5/27/2015,237.283005
5/28/2015,237.408005
5/29/2015,237.095993
5/30/2015,233.345001
5/31/2015,230.190002
6/1/2015,222.925995
6/2/2015,225.802994
6/3/2015,225.873993
6/4/2015,224.324005
6/5/2015,224.951996
6/6/2015,225.619003
6/7/2015,222.880997
6/8/2015,228.488998
6/9/2015,229.048004
6/10/2015,228.802994
6/11/2015,229.705002
6/12/2015,229.981995
6/13/2015,232.401993
6/14/2015,233.542999
6/15/2015,236.822998
6/16/2015,250.895004
6/17/2015,249.283997
6/18/2015,249.007004
6/19/2015,244.606003
6/20/2015,245.212006
6/21/2015,243.944
6/22/2015,246.990005
6/23/2015,244.296005
6/24/2015,240.514999
6/25/2015,242.798996
6/26/2015,243.593994
6/27/2015,250.990005
6/28/2015,249.011002
6/29/2015,257.063995
6/30/2015,263.071991
7/1/2015,258.621002
7/2/2015,255.412003
7/3/2015,256.335999
7/4/2015,260.885986
7/5/2015,271.912994
7/6/2015,269.029999
7/7/2015,266.207001
7/8/2015,270.785004
7/9/2015,269.227997
7/10/2015,284.894012
7/11/2015,293.11499
7/12/2015,310.867004
7/13/2015,292.053986
7/14/2015,287.463989
7/15/2015,285.82901
7/16/2015,278.088989
7/17/2015,279.471985
7/18/2015,274.901001
7/19/2015,273.614014
7/20/2015,278.980988
7/21/2015,275.833008
7/22/2015,277.221985
7/23/2015,276.049011
7/24/2015,288.278015
7/25/2015,288.696991
7/26/2015,292.686005
7/27/2015,293.623993
7/28/2015,294.427002
7/29/2015,289.589996
7/30/2015,287.721985
7/31/2015,284.649994
8/1/2015,281.601013
8/2/2015,282.614014
8/3/2015,281.22699
8/4/2015,285.217987
8/5/2015,281.881989
8/6/2015,278.576996
8/7/2015,279.584991
8/8/2015,260.997009
8/9/2015,265.083008
8/10/2015,264.470001
8/11/2015,270.385986
8/12/2015,266.376007
8/13/2015,264.079987
8/14/2015,265.679993
8/15/2015,261.550995
8/16/2015,258.506989
8/17/2015,257.976013
8/18/2015,211.078995
8/19/2015,226.684006
8/20/2015,235.350006
8/21/2015,232.569
8/22/2015,230.389999
8/23/2015,228.169006
8/24/2015,210.494995
8/25/2015,221.608994
8/26/2015,225.830994
8/27/2015,224.768997
8/28/2015,231.395996
8/29/2015,229.779999
8/30/2015,228.761002
8/31/2015,230.056
9/1/2015,228.121002
9/2/2015,229.283997
9/3/2015,227.182999
9/4/2015,230.298004
9/5/2015,235.018997
9/6/2015,239.839996
9/7/2015,239.847
9/8/2015,243.606995
9/9/2015,238.167999
9/10/2015,238.477005
9/11/2015,240.106995
9/12/2015,235.229004
9/13/2015,230.511993
9/14/2015,230.643997
9/15/2015,230.304001
9/16/2015,229.091003
9/17/2015,229.809998
9/18/2015,232.975006
9/19/2015,231.492996
9/20/2015,231.212006
9/21/2015,227.085007
9/22/2015,230.617996
9/23/2015,230.283005
9/24/2015,234.529007
9/25/2015,235.143997
9/26/2015,234.339996
9/27/2015,232.757004
9/28/2015,239.141998
9/29/2015,236.686996
9/30/2015,236.059998
10/1/2015,237.548996
10/2/2015,237.292999
10/3/2015,238.729996
10/4/2015,238.259003
10/5/2015,240.382996
10/6/2015,246.063004
10/7/2015,242.968994
10/8/2015,242.304001
10/9/2015,243.931
10/10/2015,244.940994
10/11/2015,247.050003
10/12/2015,245.307999
10/13/2015,249.507996
10/14/2015,251.988998
10/15/2015,254.320007
10/16/2015,262.868988
10/17/2015,270.640015
10/18/2015,261.643005
10/19/2015,263.437012
10/20/2015,269.463013
10/21/2015,266.272003
10/22/2015,274.02301
10/23/2015,276.496002
10/24/2015,281.653992
10/25/2015,283.679993
10/26/2015,285.299988
10/27/2015,293.787994
10/28/2015,304.618011
10/29/2015,313.855011
10/30/2015,328.015015
10/31/2015,314.165985
11/1/2015,325.431
11/2/2015,361.188995
11/3/2015,403.416992
11/4/2015,411.562988
11/5/2015,386.354004
11/6/2015,374.470001
11/7/2015,386.481995
11/8/2015,373.368011
11/9/2015,380.256989
11/10/2015,336.819
11/11/2015,311.084015
11/12/2015,338.152008
11/13/2015,336.752991
11/14/2015,332.906006
11/15/2015,320.165985
11/16/2015,330.751007
11/17/2015,335.093994
11/18/2015,334.589996
11/19/2015,326.148987
11/20/2015,322.022003
11/21/2015,326.927002
11/22/2015,324.536011
11/23/2015,323.04599
11/24/2015,320.04599
11/25/2015,328.205994
11/26/2015,352.68399
11/27/2015,358.041992
11/28/2015,357.381012
11/29/2015,371.294006
11/30/2015,377.321014
12/1/2015,362.488007
12/2/2015,359.187012
12/3/2015,361.04599
12/4/2015,363.183014
12/5/2015,388.949005
12/6/2015,388.78299
12/7/2015,395.536011
12/8/2015,415.562988
12/9/2015,417.562988
12/10/2015,415.479004
12/11/2015,451.937988
12/12/2015,434.997009
12/13/2015,433.755005
12/14/2015,444.182007
12/15/2015,465.321014
12/16/2015,454.93399
12/17/2015,456.078003
12/18/2015,463.615997
12/19/2015,462.321991
12/20/2015,442.684998
12/21/2015,438.639008
12/22/2015,436.571991
12/23/2015,442.401001
12/24/2015,454.984985
12/25/2015,455.653015
12/26/2015,417.273987
12/27/2015,422.822998
12/28/2015,422.278992
12/29/2015,432.983002
12/30/2015,426.619995
12/31/2015,430.566986
1/1/2016,434.334015
1/2/2016,433.437988
1/3/2016,430.010986
1/4/2016,433.091003
1/5/2016,431.959991
1/6/2016,429.105011
1/7/2016,458.048004
1/8/2016,453.230011
1/9/2016,447.610992
1/10/2016,447.990997
1/11/2016,448.428009
1/12/2016,435.690002
1/13/2016,432.371002
1/14/2016,430.306
1/15/2016,364.330994
1/16/2016,387.536011
1/17/2016,382.299011
1/18/2016,387.167999
1/19/2016,380.148987
1/20/2016,420.230011
1/21/2016,410.261993
1/22/2016,382.492004
1/23/2016,387.490997
1/24/2016,402.971008
1/25/2016,391.726013
1/26/2016,392.153015
1/27/2016,394.971985
1/28/2016,380.289001
1/29/2016,379.473999
1/30/2016,378.255005
1/31/2016,368.766998
2/1/2016,373.056
2/2/2016,374.447998
2/3/2016,369.949005
2/4/2016,389.593994
2/5/2016,386.549011
2/6/2016,376.522003
2/7/2016,376.619995
2/8/2016,373.446991
2/9/2016,376.028992
2/10/2016,381.648987
2/11/2016,379.653992
2/12/2016,384.263
2/13/2016,391.859985
2/14/2016,407.230011
2/15/2016,400.184998
2/16/2016,407.488007
2/17/2016,416.321991
2/18/2016,422.372986
2/19/2016,420.785004
2/20/2016,437.164001
2/21/2016,438.798004
2/22/2016,437.747986
2/23/2016,420.735992
2/24/2016,424.954987
2/25/2016,424.544006
2/26/2016,432.152008
2/27/2016,432.519012
2/28/2016,433.503998
2/29/2016,437.696991
3/1/2016,435.122986
3/2/2016,423.989014
3/3/2016,421.651001
3/4/2016,410.938995
3/5/2016,400.570007
3/6/2016,407.707001
3/7/2016,414.321014
3/8/2016,413.971985
3/9/2016,414.859985
3/10/2016,417.131012
3/11/2016,421.690002
3/12/2016,411.623993
3/13/2016,414.065002
3/14/2016,416.437988
3/15/2016,416.829987
3/16/2016,417.010986
3/17/2016,420.621002
3/18/2016,409.548004
3/19/2016,410.444
3/20/2016,413.755005
3/21/2016,413.307007
3/22/2016,418.088989
3/23/2016,418.040985
3/24/2016,416.394012
3/25/2016,417.177002
3/26/2016,417.945007
3/27/2016,426.765015
3/28/2016,424.230988
3/29/2016,416.515991
3/30/2016,414.81601
3/31/2016,416.729004
4/1/2016,417.959991
4/2/2016,420.872986
4/3/2016,420.903992
4/4/2016,421.444
4/5/2016,424.029999
4/6/2016,423.412994
4/7/2016,422.744995
4/8/2016,420.348999
4/9/2016,419.411011
4/10/2016,421.563995
4/11/2016,422.483002
4/12/2016,425.190002
4/13/2016,423.734009
4/14/2016,424.282013
4/15/2016,429.713013
4/16/2016,430.571991
4/17/2016,427.398987
4/18/2016,428.591003
4/19/2016,435.509003
4/20/2016,441.389008
4/21/2016,449.424988
4/22/2016,445.737
4/23/2016,450.282013
4/24/2016,458.554993
4/25/2016,461.425995
4/26/2016,466.088989
4/27/2016,444.687012
4/28/2016,449.010986
4/29/2016,455.096985
4/30/2016,448.317993
5/1/2016,451.875
5/2/2016,444.669006
5/3/2016,450.303986
5/4/2016,446.721985
5/5/2016,447.976013
5/6/2016,459.602997
5/7/2016,458.536011
5/8/2016,458.548004
5/9/2016,460.483002
5/10/2016,450.894989
5/11/2016,452.727997
5/12/2016,454.765991
5/13/2016,455.670013
5/14/2016,455.67099
5/15/2016,457.567993
5/16/2016,454.162994
5/17/2016,453.78299
5/18/2016,454.618988
5/19/2016,438.714996
5/20/2016,442.675995
5/21/2016,443.187988
5/22/2016,439.322998
5/23/2016,444.154999
5/24/2016,445.980988
5/25/2016,449.598999
5/26/2016,453.384003
5/27/2016,473.463989
5/28/2016,530.039978
5/29/2016,526.232971
5/30/2016,533.864014
5/31/2016,531.385986
6/1/2016,536.919983
6/2/2016,537.971985
6/3/2016,569.19397
6/4/2016,572.72699
6/5/2016,574.97699
6/6/2016,585.536987
6/7/2016,576.596985
6/8/2016,581.64502
6/9/2016,574.630005
6/10/2016,577.469971
6/11/2016,606.72699
6/12/2016,672.783997
6/13/2016,704.375977
6/14/2016,685.559021
6/15/2016,694.468994
6/16/2016,766.307983
6/17/2016,748.908997
6/18/2016,756.22699
6/19/2016,763.781006
6/20/2016,737.226013
6/21/2016,666.651978
6/22/2016,596.116028
6/23/2016,623.97699
6/24/2016,665.299011
6/25/2016,665.122986
6/26/2016,629.367004
6/27/2016,655.275024
6/28/2016,647.000977
6/29/2016,639.890015
6/30/2016,673.336975
7/1/2016,676.296021
7/2/2016,703.702026
7/3/2016,658.664001
7/4/2016,683.661987
7/5/2016,670.627014
7/6/2016,677.330994
7/7/2016,640.562012
7/8/2016,666.52301
7/9/2016,650.960022
7/10/2016,649.359985
7/11/2016,647.658997
7/12/2016,664.551025
7/13/2016,654.468018
7/14/2016,658.078003
7/15/2016,663.255005
7/16/2016,660.767029
7/17/2016,679.458984
7/18/2016,673.106018
7/19/2016,672.864014
7/20/2016,665.684998
7/21/2016,665.012024
7/22/2016,650.619019
7/23/2016,655.55603
7/24/2016,661.284973
7/25/2016,654.096985
7/26/2016,651.783997
7/27/2016,654.35199
7/28/2016,655.034973
7/29/2016,656.992004
7/30/2016,655.046997
7/31/2016,624.68103
8/1/2016,606.271973
8/2/2016,547.465027
8/3/2016,566.35498
8/4/2016,578.289001
8/5/2016,575.04303
8/6/2016,587.778015
8/7/2016,592.690002
8/8/2016,591.054016
8/9/2016,587.801025
8/10/2016,592.103027
8/11/2016,589.119995
8/12/2016,587.559021
8/13/2016,585.588013
8/14/2016,570.473022
8/15/2016,567.23999
8/16/2016,577.439026
8/17/2016,573.216003
8/18/2016,574.317993
8/19/2016,575.630005
8/20/2016,581.697021
8/21/2016,581.307983
8/22/2016,586.752991
8/23/2016,583.414978
8/24/2016,580.182007
8/25/2016,577.760986
8/26/2016,579.651001
8/27/2016,569.947021
8/28/2016,573.911987
8/29/2016,574.106995
8/30/2016,577.502991
8/31/2016,575.471985
9/1/2016,572.302979
9/2/2016,575.536987
9/3/2016,598.211975
9/4/2016,608.633972
9/5/2016,606.590027
9/6/2016,610.435974
9/7/2016,614.544006
9/8/2016,626.315979
9/9/2016,622.861023
9/10/2016,623.508972
9/11/2016,606.718994
9/12/2016,608.242981
9/13/2016,609.241028
