ds,y,y2
2016-04-27,444687012,44469
2016-04-28,449010986,44901
2016-04-29,455096985,45510
2016-04-30,448317993,44832
2016-05-01,451875000,45188
2016-05-02,444669006,44467
2016-05-03,450303986,45030
2016-05-04,446721985,44672
2016-05-05,447976013,44798
2016-05-06,459602997,45960
2016-05-07,458536011,45854
2016-05-08,458548004,45855
2016-05-09,460483002,46048
2016-05-10,450894989,45089
2016-05-11,452727997,45273
2016-05-12,454765991,45477
2016-05-13,455670013,45567
2016-05-14,455670990,45567
2016-05-15,457567993,45757
2016-05-16,454162994,45416
2016-05-17,453782990,45378
2016-05-18,454618988,45462
2016-05-19,438714996,43871
2016-05-20,442675995,44268
2016-05-21,443187988,44319
2016-05-22,439322998,43932
2016-05-23,444154999,44415
2016-05-24,445980988,44598
2016-05-25,449598999,44960
2016-05-26,453384003,45338
2016-05-27,473463989,47346
2016-05-28,530039978,53004
2016-05-29,526232971,52623
2016-05-30,533864014,53386
2016-05-31,531385986,53139
2016-06-01,536919983,53692
2016-06-02,537971985,53797
2016-06-03,569193970,56919
2016-06-04,572726990,57273
2016-06-05,574976990,57498
2016-06-06,585536987,58554
2016-06-07,576596985,57660
2016-06-08,581645020,58165
2016-06-09,574630005,57463
2016-06-10,577469971,57747
2016-06-11,606726990,60673
2016-06-12,672783997,67278
2016-06-13,704375977,70438
2016-06-14,685559021,68556
2016-06-15,694468994,69447
2016-06-16,766307983,76631
2016-06-17,748908997,74891
2016-06-18,756226990,75623
2016-06-19,763781006,76378
2016-06-20,737226013,73723
2016-06-21,666651978,66665
2016-06-22,596116028,59612
2016-06-23,623976990,62398
2016-06-24,665299011,66530
2016-06-25,665122986,66512
2016-06-26,629367004,62937
2016-06-27,655275024,65528
2016-06-28,647000977,64700
2016-06-29,639890015,63989
2016-06-30,673336975,67334
2016-07-01,676296021,67630
2016-07-02,703702026,70370
2016-07-03,658664001,65866
2016-07-04,683661987,68366
2016-07-05,670627014,67063
2016-07-06,677330994,67733
2016-07-07,640562012,64056
2016-07-08,666523010,66652
2016-07-09,650960022,65096
2016-07-10,649359985,64936
2016-07-11,647658997,64766
2016-07-12,664551025,66455
2016-07-13,654468018,65447
2016-07-14,658078003,65808
2016-07-15,663255005,66326
2016-07-16,660767029,66077
2016-07-17,679458984,67946
2016-07-18,673106018,67311
2016-07-19,672864014,67286
2016-07-20,665684998,66568
2016-07-21,665012024,66501
2016-07-22,650619019,65062
2016-07-23,655556030,65556
2016-07-24,661284973,66128
2016-07-25,654096985,65410
2016-07-26,651783997,65178
2016-07-27,654351990,65435
2016-07-28,655034973,65503
2016-07-29,656992004,65699
2016-07-30,655046997,65505
2016-07-31,624681030,62468
2016-08-01,606271973,60627
2016-08-02,547465027,54747
2016-08-03,566354980,56635
2016-08-04,578289001,57829
2016-08-05,575043030,57504
2016-08-06,587778015,58778
2016-08-07,592690002,59269
2016-08-08,591054016,59105
2016-08-09,587801025,58780
2016-08-10,592103027,59210
2016-08-11,589119995,58912
2016-08-12,587559021,58756
2016-08-13,585588013,58559
2016-08-14,570473022,57047
2016-08-15,567239990,56724
2016-08-16,577439026,57744
2016-08-17,573216003,57322
2016-08-18,574317993,57432
2016-08-19,575630005,57563
2016-08-20,581697021,58170
2016-08-21,581307983,58131
2016-08-22,586752991,58675
2016-08-23,583414978,58341
2016-08-24,580182007,58018
2016-08-25,577760986,57776
2016-08-26,579651001,57965
2016-08-27,569947021,56995
2016-08-28,573911987,57391
2016-08-29,574106995,57411
2016-08-30,577502991,57750
2016-08-31,575471985,57547
2016-09-01,572302979,57230
2016-09-02,575536987,57554
2016-09-03,598211975,59821
2016-09-04,608633972,60863
2016-09-05,606590027,60659
2016-09-06,610435974,61044
2016-09-07,614544006,61454
2016-09-08,626315979,62632
2016-09-09,622861023,62286
2016-09-10,623508972,62351
2016-09-11,606718994,60672
2016-09-12,608242981,60824
2016-09-13,609241028,60924
2016-09-14,610684021,61068
2016-09-15,607155029,60716
2016-09-16,606973022,60697
2016-09-17,605984009,60598
2016-09-18,609874023,60987
2016-09-19,609226990,60923
2016-09-20,608312012,60831
2016-09-21,597148987,59715
2016-09-22,596297974,59630
2016-09-23,602841980,60284
2016-09-24,602625000,60263
2016-09-25,600825989,60083
2016-09-26,608043030,60804
2016-09-27,606166016,60617
2016-09-28,604728027,60473
2016-09-29,605692993,60569
2016-09-30,609734985,60973
2016-10-01,613982971,61398
2016-10-02,610892029,61089
2016-10-03,612132996,61213
2016-10-04,610203979,61020
2016-10-05,612510986,61251
2016-10-06,613020996,61302
2016-10-07,617120972,61712
2016-10-08,619107971,61911
2016-10-09,616752014,61675
2016-10-10,618994019,61899
2016-10-11,641072021,64107
2016-10-12,636192017,63619
2016-10-13,636786011,63679
2016-10-14,640377991,64038
2016-10-15,638645996,63865
2016-10-16,641630981,64163
2016-10-17,639192993,63919
2016-10-18,637960022,63796
2016-10-19,630520020,63052
2016-10-20,630856995,63086
2016-10-21,632828003,63283
2016-10-22,657294006,65729
2016-10-23,657070984,65707
2016-10-24,653760986,65376
2016-10-25,657588013,65759
2016-10-26,678304016,67830
2016-10-27,688312988,68831
2016-10-28,689651001,68965
2016-10-29,714479004,71448
2016-10-30,701864014,70186
2016-10-31,700971985,70097
2016-11-01,729793030,72979
2016-11-02,740828979,74083
2016-11-03,688700012,68870
2016-11-04,703234985,70323
2016-11-05,703418030,70342
2016-11-06,711521973,71152
2016-11-07,703130981,70313
2016-11-08,709848022,70985
2016-11-09,723273010,72327
2016-11-10,715533997,71553
2016-11-11,716411011,71641
2016-11-12,705054016,70505
2016-11-13,702031006,70203
2016-11-14,705020996,70502
2016-11-15,711619019,71162
2016-11-16,744197998,74420
2016-11-17,740976990,74098
2016-11-18,751585022,75159
2016-11-19,751616028,75162
2016-11-20,731026001,73103
2016-11-21,739247986,73925
2016-11-22,751346985,75135
2016-11-23,744593994,74459
2016-11-24,740289001,74029
2016-11-25,741648987,74165
2016-11-26,735382019,73538
2016-11-27,732034973,73203
2016-11-28,735812988,73581
2016-11-29,735604004,73560
2016-11-30,745690979,74569
2016-12-01,756773987,75677
2016-12-02,777943970,77794
2016-12-03,771155029,77116
2016-12-04,773872009,77387
2016-12-05,758700012,75870
2016-12-06,764223999,76422
2016-12-07,768132019,76813
2016-12-08,770809998,77081
2016-12-09,772794006,77279
2016-12-10,774650024,77465
2016-12-11,769731018,76973
2016-12-12,780086975,78009
2016-12-13,780556030,78056
2016-12-14,781481018,78148
2016-12-15,778088013,77809
2016-12-16,784906982,78491
2016-12-17,790828979,79083
2016-12-18,790530029,79053
2016-12-19,792713989,79271
2016-12-20,800875977,80088
2016-12-21,834281006,83428
2016-12-22,864539978,86454
2016-12-23,921984009,92198
2016-12-24,898822021,89882
2016-12-25,896182983,89618
2016-12-26,907609985,90761
2016-12-27,933197998,93320
2016-12-28,975921021,97592
2016-12-29,973497009,97350
2016-12-30,961237976,96124
2016-12-31,963742981,96374
2017-01-01,998325012,99833
2017-01-02,1021750000,102175
2017-01-03,1043839966,104384
2017-01-04,1154729980,115473
2017-01-05,1013380005,101338
2017-01-06,902200989,90220
2017-01-07,908585022,90859
2017-01-08,911198975,91120
2017-01-09,902828003,90283
2017-01-10,907679016,90768
2017-01-11,777757019,77776
2017-01-12,804833984,80483
2017-01-13,823984009,82398
2017-01-14,818411987,81841
2017-01-15,821797974,82180
2017-01-16,831533997,83153
2017-01-17,907937988,90794
2017-01-18,886617981,88662
2017-01-19,899072998,89907
2017-01-20,895026001,89503
2017-01-21,921789001,92179
2017-01-22,924672974,92467
2017-01-23,921012024,92101
2017-01-24,892687012,89269
2017-01-25,901541992,90154
2017-01-26,917585999,91759
2017-01-27,919750000,91975
2017-01-28,921590027,92159
2017-01-29,919495972,91950
2017-01-30,920382019,92038
2017-01-31,970403015,97040
2017-02-01,989023010,98902
2017-02-02,1011799988,101180
2017-02-03,1029910034,102991
2017-02-04,1042900024,104290
2017-02-05,1027339966,102734
2017-02-06,1038150024,103815
2017-02-07,1061349976,106135
2017-02-08,1063069946,106307
2017-02-09,994382996,99438
2017-02-10,988674011,98867
2017-02-11,1004450012,100445
2017-02-12,999181030,99918
2017-02-13,990642029,99064
2017-02-14,1004549988,100455
2017-02-15,1007479980,100748
2017-02-16,1027439941,102744
2017-02-17,1046209961,104621
2017-02-18,1054420044,105442
2017-02-19,1047869995,104787
2017-02-20,1079979980,107998
2017-02-21,1115300049,111530
2017-02-22,1117439941,111744
2017-02-23,1166719971,116672
2017-02-24,1173680054,117368
2017-02-25,1143839966,114384
2017-02-26,1165199951,116520
2017-02-27,1179969971,117997
2017-02-28,1179969971,117997
2017-03-01,1222500000,122250
2017-03-02,1251010010,125101
2017-03-03,1274989990,127499
2017-03-04,1255150024,125515
2017-03-05,1267119995,126712
2017-03-06,1272829956,127283
2017-03-07,1223540039,122354
2017-03-08,1150000000,115000
2017-03-09,1188489990,118849
2017-03-10,1116719971,111672
2017-03-11,1175829956,117583
2017-03-12,1221380005,122138
2017-03-13,1231920044,123192
2017-03-14,1240000000,124000
2017-03-15,1249609985,124961
2017-03-16,1187810059,118781
2017-03-17,1100229980,110023
2017-03-18,973817993,97382
2017-03-19,1036739990,103674
2017-03-20,1054229980,105423
2017-03-21,1120540039,112054
2017-03-22,1049140015,104914
2017-03-23,1038589966,103859
2017-03-24,937520020,93752
2017-03-25,972778992,97278
2017-03-26,966724976,96672
2017-03-27,1045770020,104577
2017-03-28,1047150024,104715
2017-03-29,1039969971,103997
2017-03-30,1026430054,102643
2017-03-31,1071790039,107179
2017-04-01,1080500000,108050
2017-04-02,1102170044,110217
2017-04-03,1143810059,114381
2017-04-04,1133250000,113325
2017-04-05,1124780029,112478
2017-04-06,1182680054,118268
2017-04-07,1176900024,117690
2017-04-08,1175949951,117595
2017-04-09,1187869995,118787
2017-04-10,1187130005,118713
2017-04-11,1205010010,120501
2017-04-12,1200369995,120037
2017-04-13,1169280029,116928
2017-04-14,1167540039,116754
2017-04-15,1172520020,117252
2017-04-16,1182939941,118294
2017-04-17,1193910034,119391
2017-04-18,1211670044,121167
2017-04-19,1210290039,121029
2017-04-20,1229079956,122908
2017-04-21,1222050049,122205
2017-04-22,1231709961,123171
2017-04-23,1207209961,120721
2017-04-24,1250150024,125015
2017-04-25,1265489990,126549
2017-04-26,1281079956,128108
2017-04-27,1317729980,131773
2017-04-28,1316479980,131648
2017-04-29,1321790039,132179
2017-04-30,1347890015,134789
2017-05-01,1421599976,142160
2017-05-02,1452819946,145282
2017-05-03,1490089966,149009
2017-05-04,1537670044,153767
2017-05-05,1555449951,155545
2017-05-06,1578800049,157880
2017-05-07,1596709961,159671
2017-05-08,1723349976,172335
2017-05-09,1755359985,175536
2017-05-10,1787130005,178713
2017-05-11,1848569946,184857
2017-05-12,1724239990,172424
2017-05-13,1804910034,180491
2017-05-14,1808910034,180891
2017-05-15,1738430054,173843
2017-05-16,1734449951,173445
2017-05-17,1839089966,183909
2017-05-18,1888650024,188865
2017-05-19,1987709961,198771
2017-05-20,2084729980,208473
2017-05-21,2041199951,204120
2017-05-22,2173399902,217340
2017-05-23,2320419922,232042
2017-05-24,2443639893,244364
2017-05-25,2304979980,230498
2017-05-26,2202419922,220242
2017-05-27,2038869995,203887
2017-05-28,2155800049,215580
2017-05-29,2255610107,225561
2017-05-30,2175469971,217547
2017-05-31,2286409912,228641
2017-06-01,2407879883,240788
2017-06-02,2488550049,248855
2017-06-03,2515350098,251535
2017-06-04,2511810059,251181
2017-06-05,2686810059,268681
2017-06-06,2863199951,286320
2017-06-07,2732159912,273216
2017-06-08,2805620117,280562
2017-06-09,2823810059,282381
2017-06-10,2947709961,294771
2017-06-11,2958110107,295811
2017-06-12,2659629883,265963
2017-06-13,2717020020,271702
2017-06-14,2506370117,250637
2017-06-15,2464580078,246458
2017-06-16,2518560059,251856
2017-06-17,2655879883,265588
2017-06-18,2548290039,254829
2017-06-19,2589600098,258960
