unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1602892800,2020-10-17 00:00:00,BTC/USD,11331.88,11415.48,11264.01,11365.80,1124.42019876,12779935.095066406
1602806400,2020-10-16 00:00:00,BTC/USD,11506.53,11548.65,11200.00,11321.86,4309.22448566,48788436.33521453
1602720000,2020-10-15 00:00:00,BTC/USD,11430.49,11623.60,11250.01,11511.11,4864.42955616,55994983.70820894
1602633600,2020-10-14 00:00:00,BTC/USD,11440.28,11555.10,11287.42,11428.84,3788.25075923,43295311.80711819
1602547200,2020-10-13 00:00:00,BTC/USD,11539.42,11567.40,11314.53,11427.98,5097.96082433,58259394.34122675
1602460800,2020-10-12 00:00:00,BTC/USD,11372.48,11731.70,11175.99,11535.98,7088.22778528,81769653.96643437
1602374400,2020-10-11 00:00:00,BTC/USD,11300.97,11447.44,11272.11,11372.93,2177.65085818,24766270.774521068
1602288000,2020-10-10 00:00:00,BTC/USD,11060.46,11496.06,11059.62,11301.20,3270.37027031,36959108.498827375
1602201600,2020-10-09 00:00:00,BTC/USD,10927.02,11118.49,10826.40,11052.00,5355.33959365,59187213.1890198
1602115200,2020-10-08 00:00:00,BTC/USD,10669.10,10957.00,10535.06,10925.20,6969.04085121,76138165.1076395
1602028800,2020-10-07 00:00:00,BTC/USD,10602.31,10682.56,10547.71,10669.14,5560.24913562,59323076.462808765
1601942400,2020-10-06 00:00:00,BTC/USD,10797.36,10801.86,10525.00,10606.33,4800.69513633,50917756.84531097
1601856000,2020-10-05 00:00:00,BTC/USD,10666.16,10805.82,10620.71,10795.00,3618.01529204,39056475.0775718
1601769600,2020-10-04 00:00:00,BTC/USD,10543.17,10699.88,10524.81,10669.63,1057.77530355,11286071.112016186
1601683200,2020-10-03 00:00:00,BTC/USD,10571.60,10605.79,10500.00,10553.66,1134.79775814,11976269.708171792
1601596800,2020-10-02 00:00:00,BTC/USD,10611.17,10667.53,10380.00,10578.54,8333.45852437,88155824.33838902
